"MTU","Out Area","In Area","Physical Flow (MW)"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","France (FR)","Belgium (BE)","319.97"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Belgium (BE)","Germany (DE)","0.00"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Germany (DE)","Belgium (BE)","289.24"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Belgium (BE)","Luxembourg (LU)","143.13"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Netherlands (NL)","Belgium (BE)","2278.00"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","Belgium (BE)","United Kingdom (UK)","878.17"
"17/10/2025 00:00:00 - 17/10/2025 01:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","France (FR)","Belgium (BE)","698.49"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Belgium (BE)","Germany (DE)","902.89"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Belgium (BE)","Luxembourg (LU)","38.16"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Netherlands (NL)","Belgium (BE)","3015.35"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","Belgium (BE)","United Kingdom (UK)","870.07"
"17/10/2025 01:00:00 - 17/10/2025 02:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","France (FR)","Belgium (BE)","913.67"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Belgium (BE)","Germany (DE)","884.28"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Belgium (BE)","Luxembourg (LU)","23.91"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 02:00:00 - 17/10/2025 03:00:00","Netherlands (NL)","Belgium (BE)","2930.10"
