"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"14/10/2025 00:00 - 14/10/2025 00:15","Belgium (BE)","8170.94","8000.84"
"14/10/2025 00:15 - 14/10/2025 00:30","Belgium (BE)","8052.20","7878.04"
"14/10/2025 00:30 - 14/10/2025 00:45","Belgium (BE)","8163.29","7828.68"
"14/10/2025 00:45 - 14/10/2025 01:00","Belgium (BE)","8129.49","7755.60"
"14/10/2025 01:00 - 14/10/2025 01:15","Belgium (BE)","7875.64","7582.13"
"14/10/2025 01:15 - 14/10/2025 01:30","Belgium (BE)","7768.96","7479.21"
"14/10/2025 01:30 - 14/10/2025 01:45","Belgium (BE)","7765.97","7447.43"
"14/10/2025 01:45 - 14/10/2025 02:00","Belgium (BE)","7808.70","7456.45"
"14/10/2025 02:00 - 14/10/2025 02:15","Belgium (BE)","7526.58","7373.15"
"14/10/2025 02:15 - 14/10/2025 02:30","Belgium (BE)","7529.86","7376.33"
"14/10/2025 02:30 - 14/10/2025 02:45","Belgium (BE)","7587.38","7367.39"
"14/10/2025 02:45 - 14/10/2025 03:00","Belgium (BE)","7642.58","7379.74"
"14/10/2025 03:00 - 14/10/2025 03:15","Belgium (BE)","7533.90","7366.56"
"14/10/2025 03:15 - 14/10/2025 03:30","Belgium (BE)","7616.57","7339.70"
"14/10/2025 03:30 - 14/10/2025 03:45","Belgium (BE)","7599.79","7328.61"
"14/10/2025 03:45 - 14/10/2025 04:00","Belgium (BE)","7552.51","7328.20"
"14/10/2025 04:00 - 14/10/2025 04:15","Belgium (BE)","7552.10","7446.62"
"14/10/2025 04:15 - 14/10/2025 04:30","Belgium (BE)","7583.98","7462.83"
"14/10/2025 04:30 - 14/10/2025 04:45","Belgium (BE)","7682.04","7455.38"
"14/10/2025 04:45 - 14/10/2025 05:00","Belgium (BE)","7708.84","7505.16"
"14/10/2025 05:00 - 14/10/2025 05:15","Belgium (BE)","7836.16","7675.40"
"14/10/2025 05:15 - 14/10/2025 05:30","Belgium (BE)","7898.53","7698.75"
"14/10/2025 05:30 - 14/10/2025 05:45","Belgium (BE)","7901.22","7783.48"
"14/10/2025 05:45 - 14/10/2025 06:00","Belgium (BE)","8099.04","7905.72"
"14/10/2025 06:00 - 14/10/2025 06:15","Belgium (BE)","8432.42","8263.97"
"14/10/2025 06:15 - 14/10/2025 06:30","Belgium (BE)","8560.07","8512.54"
"14/10/2025 06:30 - 14/10/2025 06:45","Belgium (BE)","8745.88","8699.53"
"14/10/2025 06:45 - 14/10/2025 07:00","Belgium (BE)","8945.75","8943.30"
"14/10/2025 07:00 - 14/10/2025 07:15","Belgium (BE)","9284.01","9401.82"
"14/10/2025 07:15 - 14/10/2025 07:30","Belgium (BE)","9517.79","9591.64"
"14/10/2025 07:30 - 14/10/2025 07:45","Belgium (BE)","9713.74","9758.79"
"14/10/2025 07:45 - 14/10/2025 08:00","Belgium (BE)","10137.12","9845.69"
"14/10/2025 08:00 - 14/10/2025 08:15","Belgium (BE)","9963.51","9948.55"
"14/10/2025 08:15 - 14/10/2025 08:30","Belgium (BE)","10035.02","10107.66"
"14/10/2025 08:30 - 14/10/2025 08:45","Belgium (BE)","10231.54","10276.93"
"14/10/2025 08:45 - 14/10/2025 09:00","Belgium (BE)","10359.46","10411.50"
"14/10/2025 09:00 - 14/10/2025 09:15","Belgium (BE)","10414.89","10364.41"
"14/10/2025 09:15 - 14/10/2025 09:30","Belgium (BE)","10616.26","10461.19"
"14/10/2025 09:30 - 14/10/2025 09:45","Belgium (BE)","10706.52","10563.42"
"14/10/2025 09:45 - 14/10/2025 10:00","Belgium (BE)","10766.83","10627.86"
"14/10/2025 10:00 - 14/10/2025 10:15","Belgium (BE)","10660.32","10530.36"
"14/10/2025 10:15 - 14/10/2025 10:30","Belgium (BE)","10677.56","10533.85"
"14/10/2025 10:30 - 14/10/2025 10:45","Belgium (BE)","10735.64","10606.70"
