time,temperature_2m (°C),rain (mm),snowfall (cm),snowfall_height (m),sunshine_duration (s),wind_speed_10m (km/h),direct_normal_irradiance (W/m²),direct_normal_irradiance_instant (W/m²),precipitation (mm),weather_code (wmo code),is_day (),relative_humidity_2m (%)
2024-05-21T00:00,12.4,0.00,0.00,2130.00,0.00,5.8,0.0,0.0,0.00,3,0,96
2024-05-21T00:15,12.3,0.00,0.00,2120.00,0.00,5.8,0.0,0.0,0.00,2,0,96
2024-05-21T00:30,12.1,0.00,0.00,2120.00,0.00,6.0,0.0,0.0,0.00,1,0,96
2024-05-21T00:45,11.9,0.00,0.00,2110.00,0.00,6.1,0.0,0.0,0.00,1,0,96
2024-05-21T01:00,11.9,0.00,0.00,2100.00,0.00,6.4,0.0,0.0,0.00,1,0,97
2024-05-21T01:15,12.1,0.00,0.00,2110.00,0.00,6.6,0.0,0.0,0.00,1,0,97
2024-05-21T01:30,12.4,0.00,0.00,2130.00,0.00,7.1,0.0,0.0,0.00,2,0,97
2024-05-21T01:45,12.7,0.00,0.00,2140.00,0.00,7.6,0.0,0.0,0.00,3,0,97
2024-05-21T02:00,12.9,0.00,0.00,2150.00,0.00,8.0,0.0,0.0,0.00,3,0,97
2024-05-21T02:15,12.9,0.00,0.00,2140.00,0.00,7.9,0.0,0.0,0.00,3,0,97
2024-05-21T02:30,12.8,0.00,0.00,2140.00,0.00,7.2,0.0,0.0,0.00,3,0,97
2024-05-21T02:45,12.6,0.00,0.00,2130.00,0.00,6.9,0.0,0.0,0.00,3,0,97
2024-05-21T03:00,12.6,0.00,0.00,2120.00,0.00,6.6,0.0,0.0,0.00,3,0,97
2024-05-21T03:15,12.4,0.00,0.00,2190.00,0.00,6.6,0.0,0.0,0.00,3,0,97
2024-05-21T03:30,12.4,0.00,0.00,2270.00,0.00,6.8,0.0,0.0,0.00,3,0,97
2024-05-21T03:45,12.4,0.00,0.00,2340.00,0.00,6.9,0.0,0.0,0.00,3,0,96
2024-05-21T04:00,12.2,0.00,0.00,2410.00,0.00,6.9,0.0,0.0,0.00,3,0,96
2024-05-21T04:15,12.1,0.00,0.00,2350.00,0.00,6.8,0.0,0.0,0.00,3,0,96
2024-05-21T04:30,12.1,0.00,0.00,2290.00,0.00,6.4,0.0,0.0,0.00,3,0,96
2024-05-21T04:45,11.9,0.00,0.00,2230.00,0.00,6.2,0.0,0.0,0.00,3,1,97
2024-05-21T05:00,11.9,0.00,0.00,2170.00,0.00,6.2,0.0,0.0,0.00,3,1,96
2024-05-21T05:15,12.1,0.20,0.00,2190.00,0.00,6.5,15.6,13.5,0.20,53,1,96
2024-05-21T05:30,12.2,0.20,0.00,2200.00,0.00,7.3,24.2,27.1,0.20,53,1,95
2024-05-21T05:45,12.5,0.20,0.00,2220.00,0.00,8.0,36.0,42.1,0.20,53,1,94
2024-05-21T06:00,12.7,0.20,0.00,2230.00,0.00,8.1,47.1,53.1,0.20,53,1,94
2024-05-21T06:15,12.9,0.20,0.00,2240.00,0.00,7.4,58.9,64.9,0.20,53,1,94
2024-05-21T06:30,13.1,0.20,0.00,2250.00,82.34,6.2,71.0,77.1,0.20,53,1,93
2024-05-21T06:45,13.4,0.20,0.00,2260.00,117.86,5.5,75.7,81.3,0.20,53,1,93
2024-05-21T07:00,13.6,0.20,0.00,2270.00,169.02,5.3,82.5,87.8,0.20,53,1,92
2024-05-21T07:15,13.9,0.00,0.00,2280.00,208.85,5.4,87.8,92.8,0.00,3,1,92
2024-05-21T07:30,14.1,0.00,0.00,2280.00,221.42,5.5,89.5,94.0,0.00,3,1,92
2024-05-21T07:45,14.4,0.00,0.00,2290.00,214.50,5.7,88.6,92.6,0.00,3,1,92
2024-05-21T08:00,14.8,0.00,0.00,2290.00,127.20,5.4,77.0,80.1,0.00,3,1,92
2024-05-21T08:15,15.1,0.00,0.00,2290.00,38.63,4.8,65.2,67.5,0.00,3,1,91
2024-05-21T08:30,15.4,0.00,0.00,2290.00,5.76,4.4,60.8,62.8,0.00,3,1,91
2024-05-21T08:45,15.8,0.00,0.00,2290.00,111.58,3.9,74.9,77.1,0.00,3,1,90
2024-05-21T09:00,16.1,0.00,0.00,2290.00,395.97,3.4,112.8,115.8,0.00,3,1,89
2024-05-21T09:15,16.5,0.00,0.00,2280.00,736.72,2.7,158.2,162.1,0.00,3,1,88
2024-05-21T09:30,17.0,0.00,0.00,2280.00,900.00,2.1,186.0,190.1,0.00,3,1,86
2024-05-21T09:45,17.4,0.00,0.00,2270.00,887.07,2.4,178.3,181.8,0.00,3,1,84
2024-05-21T10:00,17.6,0.00,0.00,2260.00,562.58,3.6,135.0,137.4,0.00,3,1,83
2024-05-21T10:15,17.7,0.10,0.00,2230.00,110.55,5.1,74.7,75.9,0.10,51,1,82
2024-05-21T10:30,17.6,0.10,0.00,2200.00,0.00,6.7,22.4,22.7,0.10,51,1,81
2024-05-21T10:45,17.5,0.10,0.00,2160.00,0.00,8.1,5.1,5.2,0.10,51,1,81
2024-05-21T11:00,17.4,0.10,0.00,2130.00,0.00,9.2,3.8,3.8,0.10,51,1,81
2024-05-21T11:15,17.1,0.60,0.00,2150.00,0.00,9.7,2.5,2.5,0.60,61,1,83
2024-05-21T11:30,16.8,0.60,0.00,2170.00,0.00,10.2,1.2,1.2,0.60,61,1,84
2024-05-21T11:45,16.5,0.60,0.00,2180.00,0.00,10.7,0.0,0.0,0.60,61,1,87
2024-05-21T12:00,16.2,0.60,0.00,2200.00,0.00,10.8,2.4,2.4,0.60,61,1,88
2024-05-21T12:15,16.1,0.40,0.00,2190.00,0.00,10.1,4.7,4.7,0.40,61,1,89
2024-05-21T12:30,16.1,0.40,0.00,2190.00,0.00,9.3,7.0,7.0,0.40,61,1,89
2024-05-21T12:45,16.1,0.40,0.00,2180.00,0.00,9.1,9.3,9.3,0.40,61,1,90
2024-05-21T13:00,16.2,0.40,0.00,2170.00,0.00,9.4,11.6,11.6,0.40,61,1,90
2024-05-21T13:15,16.3,0.20,0.00,2180.00,0.00,9.2,12.8,12.8,0.20,53,1,89
2024-05-21T13:30,16.5,0.20,0.00,2200.00,0.00,8.4,14.1,14.0,0.20,53,1,88
2024-05-21T13:45,16.6,0.20,0.00,2210.00,0.00,7.3,13.1,13.0,0.20,53,1,87
2024-05-21T14:00,16.7,0.20,0.00,2220.00,0.00,6.8,10.8,10.7,0.20,53,1,87
2024-05-21T14:15,16.7,0.10,0.00,2230.00,0.00,6.8,6.1,6.1,0.10,51,1,87
2024-05-21T14:30,16.6,0.10,0.00,2250.00,0.00,6.9,3.7,3.7,0.10,51,1,87
2024-05-21T14:45,16.5,0.10,0.00,2260.00,0.00,7.0,2.5,2.5,0.10,51,1,88
2024-05-21T15:00,16.4,0.10,0.00,2270.00,0.00,7.1,2.6,2.6,0.10,51,1,88
2024-05-21T15:15,16.4,0.10,0.00,2260.00,0.00,7.0,4.0,4.0,0.10,51,1,88
2024-05-21T15:30,16.4,0.10,0.00,2250.00,0.00,7.0,5.6,5.5,0.10,51,1,87
2024-05-21T15:45,16.5,0.10,0.00,2240.00,0.00,6.7,5.8,5.7,0.10,51,1,86
2024-05-21T16:00,16.4,0.10,0.00,2230.00,0.00,6.6,4.5,4.4,0.10,51,1,86
2024-05-21T16:15,16.3,0.20,0.00,2240.00,0.00,6.4,1.6,1.5,0.20,53,1,87
2024-05-21T16:30,16.2,0.20,0.00,2260.00,0.00,6.2,0.0,0.0,0.20,53,1,88
2024-05-21T16:45,16.0,0.20,0.00,2270.00,0.00,6.0,0.0,0.0,0.20,53,1,90
2024-05-21T17:00,15.9,0.20,0.00,2280.00,0.00,5.9,0.0,0.0,0.20,53,1,91
2024-05-21T17:15,15.9,0.20,0.00,2280.00,0.00,5.7,0.0,0.0,0.20,53,1,91
2024-05-21T17:30,15.9,0.20,0.00,2290.00,0.00,5.8,0.0,0.0,0.20,53,1,91
2024-05-21T17:45,15.9,0.20,0.00,2290.00,0.00,5.8,0.0,0.0,0.20,53,1,91
2024-05-21T18:00,15.9,0.20,0.00,2290.00,0.00,5.7,0.0,0.0,0.20,53,1,91
2024-05-21T18:15,15.9,0.10,0.00,2270.00,0.00,5.5,0.0,0.0,0.10,51,1,91
2024-05-21T18:30,15.9,0.10,0.00,2260.00,0.00,5.3,0.0,0.0,0.10,51,1,92
2024-05-21T18:45,15.8,0.10,0.00,2240.00,0.00,5.2,0.0,0.0,0.10,51,1,93
2024-05-21T19:00,15.7,0.10,0.00,2220.00,0.00,5.2,0.0,0.0,0.10,51,1,94
2024-05-21T19:15,15.6,0.00,0.00,2220.00,0.00,5.4,0.0,0.0,0.00,3,1,94
2024-05-21T19:30,15.5,0.00,0.00,2230.00,0.00,5.6,0.0,0.0,0.00,3,1,95
2024-05-21T19:45,15.4,0.00,0.00,2230.00,0.00,5.9,0.0,0.0,0.00,3,1,95
2024-05-21T20:00,15.3,0.00,0.00,2230.00,0.00,6.1,0.0,0.0,0.00,3,1,95
2024-05-21T20:15,15.2,0.00,0.00,2240.00,0.00,6.3,0.0,0.0,0.00,3,1,95
2024-05-21T20:30,15.1,0.00,0.00,2240.00,0.00,6.6,0.0,0.0,0.00,3,1,94
2024-05-21T20:45,14.9,0.00,0.00,2250.00,0.00,7.0,0.0,0.0,0.00,3,0,94
2024-05-21T21:00,14.9,0.00,0.00,2250.00,0.00,7.6,0.0,0.0,0.00,3,0,94
2024-05-21T21:15,14.8,0.00,0.00,2230.00,0.00,8.1,0.0,0.0,0.00,3,0,93
2024-05-21T21:30,14.6,0.00,0.00,2210.00,0.00,8.3,0.0,0.0,0.00,3,0,94
2024-05-21T21:45,14.4,0.00,0.00,2180.00,0.00,8.4,0.0,0.0,0.00,3,0,94
2024-05-21T22:00,14.4,0.00,0.00,2160.00,0.00,8.7,0.0,0.0,0.00,3,0,94
2024-05-21T22:15,14.2,0.00,0.00,2160.00,0.00,8.9,0.0,0.0,0.00,3,0,94
2024-05-21T22:30,14.1,0.00,0.00,2160.00,0.00,9.0,0.0,0.0,0.00,3,0,94
2024-05-21T22:45,14.1,0.00,0.00,2150.00,0.00,9.1,0.0,0.0,0.00,3,0,94
2024-05-21T23:00,14.0,0.00,0.00,2150.00,0.00,9.4,0.0,0.0,0.00,3,0,94
2024-05-21T23:15,13.9,0.00,0.00,2190.00,0.00,9.8,0.0,0.0,0.00,3,0,94
2024-05-21T23:30,13.9,0.00,0.00,2240.00,0.00,10.2,0.0,0.0,0.00,3,0,94
2024-05-21T23:45,13.9,0.00,0.00,2280.00,0.00,10.5,0.0,0.0,0.00,3,0,94
2024-05-22T00:00,13.9,0.00,0.00,2320.00,0.00,10.8,0.0,0.0,0.00,3,0,94
2024-05-22T00:15,13.9,0.00,0.00,2280.00,0.00,11.3,0.0,0.0,0.00,3,0,93
2024-05-22T00:30,13.8,0.00,0.00,2250.00,0.00,11.8,0.0,0.0,0.00,3,0,93
2024-05-22T00:45,13.6,0.00,0.00,2210.00,0.00,12.3,0.0,0.0,0.00,3,0,93
2024-05-22T01:00,13.5,0.00,0.00,2170.00,0.00,12.2,0.0,0.0,0.00,3,0,93
2024-05-22T01:15,13.3,0.00,0.00,2170.00,0.00,11.5,0.0,0.0,0.00,3,0,94
2024-05-22T01:30,13.1,0.00,0.00,2170.00,0.00,10.2,0.0,0.0,0.00,3,0,95
2024-05-22T01:45,12.9,0.00,0.00,2170.00,0.00,9.1,0.0,0.0,0.00,3,0,96
2024-05-22T02:00,12.6,0.00,0.00,2170.00,0.00,8.7,0.0,0.0,0.00,3,0,97
2024-05-22T02:15,12.5,0.00,0.00,2140.00,0.00,9.3,0.0,0.0,0.00,3,0,98
2024-05-22T02:30,12.4,0.00,0.00,2110.00,0.00,10.5,0.0,0.0,0.00,3,0,98
2024-05-22T02:45,12.3,0.00,0.00,2070.00,0.00,11.9,0.0,0.0,0.00,3,0,98
2024-05-22T03:00,12.2,0.00,0.00,2040.00,0.00,13.2,0.0,0.0,0.00,3,0,99
2024-05-22T03:15,12.1,0.00,0.00,2040.00,0.00,14.2,0.0,0.0,0.00,3,0,99
2024-05-22T03:30,11.9,0.00,0.00,2040.00,0.00,15.3,0.0,0.0,0.00,3,0,99
2024-05-22T03:45,11.9,0.00,0.00,2040.00,0.00,16.1,0.0,0.0,0.00,3,0,99
2024-05-22T04:00,11.8,0.00,0.00,2040.00,0.00,16.9,0.0,0.0,0.00,3,0,100
2024-05-22T04:15,11.8,0.00,0.00,2030.00,0.00,17.4,0.0,0.0,0.00,3,0,99
2024-05-22T04:30,11.8,0.00,0.00,2020.00,0.00,17.7,0.0,0.0,0.00,3,0,99
2024-05-22T04:45,11.8,0.00,0.00,2000.00,0.00,18.0,0.0,0.0,0.00,3,1,99
2024-05-22T05:00,11.8,0.00,0.00,1990.00,0.00,18.1,0.0,0.0,0.00,3,1,98
2024-05-22T05:15,11.9,0.00,0.00,1990.00,0.00,18.0,0.0,0.0,0.00,3,1,98
2024-05-22T05:30,11.9,0.00,0.00,1980.00,0.00,17.7,0.0,0.0,0.00,3,1,98
2024-05-22T05:45,11.9,0.00,0.00,1980.00,0.00,17.5,0.0,0.0,0.00,3,1,97
2024-05-22T06:00,12.0,0.00,0.00,1970.00,0.00,17.7,0.0,0.0,0.00,3,1,96
2024-05-22T06:15,12.1,0.00,0.00,1950.00,0.00,18.4,0.0,0.0,0.00,3,1,96
2024-05-22T06:30,12.2,0.00,0.00,1940.00,0.00,19.4,4.4,4.8,0.00,3,1,95
2024-05-22T06:45,12.4,0.00,0.00,1920.00,0.00,20.4,3.8,4.0,0.00,3,1,95
2024-05-22T07:00,12.6,0.00,0.00,1900.00,0.00,21.1,3.3,3.5,0.00,3,1,94
2024-05-22T07:15,12.8,0.00,0.00,1910.00,0.00,21.5,2.9,3.1,0.00,3,1,92
2024-05-22T07:30,13.1,0.00,0.00,1920.00,0.00,21.6,7.9,8.2,0.00,3,1,90
2024-05-22T07:45,13.4,0.00,0.00,1930.00,0.00,21.7,19.1,19.9,0.00,3,1,89
2024-05-22T08:00,13.8,0.00,0.00,1940.00,0.00,22.0,32.8,34.1,0.00,3,1,87
2024-05-22T08:15,14.0,0.00,0.00,1940.00,0.00,22.4,50.7,52.5,0.00,3,1,86
2024-05-22T08:30,14.2,0.00,0.00,1940.00,145.92,23.1,79.5,82.1,0.00,3,1,85
2024-05-22T08:45,14.4,0.00,0.00,1930.00,469.38,23.6,122.6,126.2,0.00,3,1,84
2024-05-22T09:00,14.6,0.00,0.00,1930.00,896.66,24.2,179.6,184.4,0.00,3,1,82
2024-05-22T09:15,14.9,0.00,0.00,1930.00,900.00,24.7,245.4,251.4,0.00,3,1,81
2024-05-22T09:30,15.2,0.00,0.00,1930.00,900.00,25.2,311.7,318.6,0.00,2,1,79
2024-05-22T09:45,15.6,0.00,0.00,1920.00,900.00,25.6,373.1,380.5,0.00,2,1,77
2024-05-22T10:00,15.9,0.00,0.00,1920.00,900.00,26.0,437.7,445.5,0.00,2,1,75
2024-05-22T10:15,16.1,0.10,0.00,1910.00,900.00,26.4,498.9,506.8,0.10,51,1,74
2024-05-22T10:30,16.4,0.10,0.00,1910.00,900.00,26.8,549.7,557.4,0.10,51,1,73
2024-05-22T10:45,16.6,0.10,0.00,1900.00,900.00,27.1,581.2,588.3,0.10,51,1,71
